movieid|average_rank|frequency|imdb_rating|imdb_votes|rank_of_average_rank|rank_of_frequency|rank_of_imdb_rating|rank_of_imdb_votes|bucket_rank
138|4.168224299065421|214.0|6.5|85358.0|73.0|36.0|295.5|190.0|2.0
139|3.161290322580645|155.0|7.5|238875.0|19.0|66.0|155.5|73.0|1.0
140|3.5875|80.0|7.3|273961.0|36.0|157.5|180.0|61.0|1.0
141|6.722222222222222|18.0|5.9|52866.0|317.5|359.5|373.5|248.0|7.0
142|5.75|8.0|6.7|7818.0|224.0|430.5|261.0|387.0|5.0
143|7.035714285714286|28.0|6.5|61290.0|336.0|297.0|295.5|230.0|8.0
144|6.407407407407407|27.0|6.6|50084.0|288.0|303.5|276.5|257.0|7.0
145|7.538461538461538|13.0|5.7|52724.0|366.5|397.0|389.0|249.0|8.0
146|6.4520547945205475|73.0|3.1|5986.0|293.0|170.0|466.0|405.0|7.0
147|7.361538461538461|130.0|6.4|119556.0|356.0|97.0|310.5|155.0|8.0
148|5.865248226950355|282.0|8.2|167662.0|240.0|23.0|65.0|116.0|6.0
149|5.3375|80.0|5.8|85375.0|185.0|157.5|383.5|189.0|4.0
150|6.153061224489796|196.0|8.2|221676.0|269.0|39.0|65.0|87.0|6.0
151|6.276422764227642|123.0|8.1|110138.0|277.0|102.0|85.0|165.0|6.0
152|5.325581395348837|43.0|7.6|158335.0|184.0|249.5|141.0|123.0|4.0
153|4.4|40.0|7.8|38176.0|93.0|257.5|112.5|289.0|2.0
154|4.782051282051282|78.0|7.0|231415.0|131.0|161.5|222.0|77.0|3.0
155|4.624277456647399|173.0|6.8|112806.0|111.0|52.0|246.5|162.0|3.0
156|4.546666666666667|150.0|5.6|26828.0|106.0|71.5|395.5|320.0|3.0
157|15.666666666666666|3.0|6.9|1506.0|470.0|464.0|234.0|446.0|10.0
158|9.227272727272727|22.0|6.0|14175.0|427.0|333.0|362.0|363.0|10.0
159|7.888888888888889|18.0|6.1|9216.0|381.0|359.5|350.0|382.0|9.0
160|9.3125|16.0|6.7|583.0|429.0|374.0|261.0|458.0|10.0
161|3.239130434782609|414.0|8.8|779255.0|22.0|5.0|6.0|2.0|1.0
162|7.378571428571429|140.0|6.3|223247.0|357.0|83.5|325.5|83.0|8.0
163|5.774881516587678|422.0|8.3|309992.0|228.0|3.0|48.0|46.0|5.0
164|5.721311475409836|61.0|8.3|465222.0|216.0|194.5|48.0|17.0|5.0
165|13.5|2.0|7.0|499.0|462.0|468.0|222.0|460.0|10.0
166|3.5238095238095237|42.0|7.7|183148.0|32.0|252.0|124.5|106.0|1.0
167|6.444444444444445|54.0|8.2|236949.0|291.0|210.5|65.0|74.0|7.0
168|6.526315789473684|19.0|6.3|56030.0|298.0|351.5|325.5|243.0|7.0
169|4.666666666666667|36.0|7.3|80765.0|114.0|273.0|180.0|195.0|3.0
170|2.840909090909091|88.0|7.9|391609.0|8.0|136.0|105.0|29.0|1.0
171|3.6358024691358026|162.0|7.1|275162.0|38.0|57.0|206.0|60.0|1.0
172|3.076923076923077|130.0|7.6|187059.0|14.0|97.0|141.0|101.0|1.0
173|5.05|40.0|6.6|64165.0|154.0|257.5|276.5|225.0|4.0
174|5.856801909307876|419.0|8.2|245907.0|239.0|4.0|65.0|71.0|6.0
175|6.573770491803279|61.0|6.1|40729.0|305.0|194.5|350.0|279.0|7.0
176|3.630434782608696|46.0|8.0|83122.0|37.0|237.0|97.5|193.0|1.0
177|6.388888888888889|36.0|5.9|14658.0|286.0|273.0|373.5|361.0|7.0
178|9.055555555555555|36.0|4.2|249.0|421.5|273.0|449.0|463.0|9.0
179|7.108108108108108|37.0|6.6|139765.0|344.0|267.5|276.5|137.0|8.0
180|6.903225806451613|31.0|4.6|31986.0|329.0|286.5|439.0|306.0|7.0
181|5.8|20.0|3.7|1502.0|232.0|345.0|459.0|447.0|5.0
182|4.312925170068027|147.0|8.0|311906.0|88.0|74.0|97.5|44.0|2.0
183|6.205128205128205|39.0|6.7|57571.0|274.0|261.5|261.0|238.0|6.0
184|7.054054054054054|37.0|6.5|36223.0|338.0|267.5|295.5|296.0|8.0
185|10.666666666666666|6.0|6.9|3769.0|444.0|445.5|234.0|425.0|10.0
186|5.0638297872340425|141.0|8.2|439706.0|155.0|82.0|65.0|22.0|4.0
187|5.374045801526718|131.0|7.3|226857.0|190.0|94.5|180.0|79.0|5.0
188|5.440993788819876|161.0|7.1|144878.0|197.0|58.5|206.0|129.0|5.0
189|11.0|7.0|6.9|16407.0|449.5|438.0|234.0|354.0|10.0
190|4.848484848484849|231.0|7.3|98267.0|136.0|31.0|180.0|179.0|3.0
191|7.192771084337349|83.0|8.4|273858.0|349.0|146.0|37.5|62.0|8.0
192|4.953703703703703|108.0|8.4|121383.0|140.0|114.0|37.5|152.0|3.0
193|5.041666666666667|24.0|6.3|31402.0|151.0|321.5|325.5|309.0|4.0
194|3.1384615384615384|65.0|7.9|100585.0|18.0|185.5|105.0|175.0|1.0
195|5.782608695652174|69.0|8.5|217255.0|229.0|177.0|25.5|88.0|5.0
196|5.830188679245283|159.0|8.1|205795.0|236.0|63.0|85.0|91.0|5.0
