movieid|average_score|rank_of_average_score|average_rank|frequency|rank_of_frequency|votes|rank_of_votes
317|8.5|25.5|5.738738738738738|111.0|110.5|296680.0|51.0
318|8.6|15.5|6.455813953488372|215.0|35.0|442359.0|21.0
319|7.6|141.0|5.810126582278481|79.0|159.5|92745.0|185.0
320|7.4|166.5|7.814814814814815|27.0|303.5|119393.0|156.0
321|7.2|193.5|8.090909090909092|22.0|333.0|25208.0|325.0
322|5.9|373.5|7.055555555555555|18.0|359.5|13144.0|367.0
323|7.2|193.5|4.173333333333333|75.0|166.0|238949.0|72.0
324|7.3|180.0|4.035714285714286|28.0|297.0|44633.0|269.0
325|8.4|37.5|6.509803921568627|51.0|218.5|65161.0|223.0
326|7.6|141.0|4.081632653061225|49.0|225.5|98950.0|176.0
327|6.8|246.5|5.798611111111111|144.0|78.0|142821.0|134.0
328|8.3|48.0|5.20627802690583|223.0|33.0|522060.0|11.0
329|7.5|155.5|3.8376068376068377|117.0|105.0|168531.0|115.0
330|8.2|65.0|4.0299625468164795|267.0|24.0|322331.0|42.0
331|8.2|65.0|6.674418604651163|43.0|249.5|43574.0|272.0
332|8.1|85.0|4.992307692307692|130.0|97.0|295622.0|52.0
333|6.8|246.5|4.068181818181818|44.0|245.0|40254.0|282.0
334|7.4|166.5|6.397058823529412|68.0|179.5|37640.0|291.0
335|5.0|423.5|7.214285714285714|14.0|388.0|685.0|455.0
336|6.8|246.5|8.454545454545455|22.0|333.0|11402.0|372.0
337|5.4|407.5|5.125|8.0|430.5|4224.0|421.0
338|5.9|373.5|5.083333333333333|12.0|403.5|4922.0|412.0
339|6.0|362.0|6.6|5.0|452.5|9728.0|380.0
340|6.6|276.5|5.113207547169812|159.0|63.0|93753.0|183.0
341|6.9|234.0|6.333333333333333|36.0|273.0|40652.0|280.0
342|7.6|141.0|6.733333333333333|45.0|240.5|43685.0|271.0
343|7.6|141.0|5.666666666666667|9.0|422.0|26784.0|321.0
344|7.5|155.5|7.323076923076923|65.0|185.5|24381.0|328.0
345|6.4|310.5|4.405797101449275|69.0|177.0|206352.0|90.0
346|9.0|1.5|3.027173913043478|184.0|48.0|963458.0|1.0
347|8.6|15.5|4.415902140672783|327.0|15.0|599893.0|6.0
348|7.3|180.0|4.578947368421052|76.0|164.5|29483.0|311.0
349|8.5|25.5|4.014409221902017|347.0|11.0|497559.0|14.0
350|5.8|383.5|5.512820512820513|78.0|161.5|19010.0|343.0
351|5.2|415.0|7.818181818181818|22.0|333.0|31842.0|307.0
352|7.1|206.0|4.555555555555555|81.0|155.0|49690.0|258.0
353|5.9|373.5|6.0|17.0|368.0|14931.0|360.0
354|7.3|180.0|7.5|2.0|468.0|10258.0|378.0
355|8.0|97.5|5.72265625|256.0|26.0|196213.0|96.0
356|6.8|246.5|6.0|5.0|452.5|7559.0|391.0
357|7.5|155.5|2.948529411764706|136.0|88.0|75239.0|203.0
358|5.6|395.5|5.407407407407407|27.0|303.5|10365.0|377.0
359|8.2|65.0|13.0|14.0|388.0|38159.0|290.0
360|6.1|350.0|6.071428571428571|14.0|388.0|17504.0|351.0
361|9.0|1.5|5.797297297297297|74.0|167.0|298134.0|50.0
362|8.1|85.0|4.462686567164179|134.0|91.5|138535.0|138.0
363|8.3|48.0|5.809523809523809|84.0|143.0|102830.0|173.0
364|5.9|373.5|4.403846153846154|52.0|216.0|98378.0|178.0
365|5.2|415.0|8.0625|16.0|374.0|3208.0|428.0
366|6.5|295.5|3.1341463414634148|82.0|150.5|223145.0|84.0
367|6.1|350.0|4.174698795180723|166.0|54.0|44683.0|268.0
368|4.8|434.0|4.127659574468085|47.0|232.5|20917.0|336.0
369|8.1|85.0|5.985781990521327|211.0|37.0|303834.0|47.0
370|7.0|222.0|6.276595744680851|47.0|232.5|46807.0|265.0
371|6.4|310.5|5.866666666666666|30.0|289.5|16841.0|352.0
372|7.3|180.0|6.7894736842105265|38.0|264.0|48850.0|259.0
373|6.2|339.0|4.238095238095238|21.0|338.5|19719.0|341.0
374|7.2|193.5|3.289156626506024|83.0|146.0|360758.0|34.0
375|6.8|246.5|8.666666666666666|3.0|464.0|17569.0|350.0
376|7.7|124.5|4.505050505050505|99.0|121.0|199323.0|95.0
377|6.0|362.0|5.15|20.0|345.0|7090.0|394.0
378|6.5|295.5|3.901098901098901|91.0|132.0|39983.0|283.0
379|6.5|295.5|5.456521739130435|46.0|237.0|61186.0|232.0
380|8.5|25.5|10.0|13.0|397.0|187138.0|100.0
381|7.7|124.5|6.90625|32.0|285.0|32323.0|305.0
382|8.1|85.0|5.711111111111111|90.0|133.5|260462.0|68.0
383|5.9|373.5|11.0|6.0|445.5|2577.0|432.0
384|6.1|350.0|6.705882352941177|34.0|281.0|61694.0|229.0
385|4.4|442.5|6.567164179104478|134.0|91.5|76422.0|199.0
386|6.3|325.5|9.5|2.0|468.0|436.0|461.0
387|7.7|124.5|2.7037037037037037|81.0|155.0|102922.0|172.0
388|6.5|295.5|6.161290322580645|62.0|192.5|45331.0|267.0
389|7.5|155.5|6.045454545454546|44.0|245.0|29039.0|313.0
390|7.0|222.0|4.769230769230769|13.0|397.0|19329.0|342.0
